MassiveID	filename	SampleType	SampleTypeSub1	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters	qiita_sample_name	LifeStage	UBERONOntologyIndex	DOIDOntologyIndex	ATTRIBUTE_STATION	ATTRIBUTE_DEPTH	ATTRIBUTE_temp	ATTRIBUTE_sal	ATTRIBUTE_Sbeox0Mg/L	ATTRIBUTE_par	ATTRIBUTE_fl-eco-afl	ATTRIBUTE_turb	ATTRIBUTE_CStarTr0.(%)	ATTRIBUTE_LONGHURST	ATTRIBUTE_LONGHURST_name
MSV000096004	AN1WDOC_PPL_001_NEG.mzML	environmental	dissolvedorganicmatter_water_saline	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Orbitrap Eclipse|MS:1003029	electrospray ionization (negative)	reverse phase (C18)	not specified	not specified	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	12/18/2020 09.30	not applicable	not applicable	37.91|-15.974	-100.0	not specified	not specified	not applicable	not applicable	ST01	1%PAR	16.36569	36.12954	7.33294	0.6636	-0.01337	0.19918	99.16981	NASE	North Atlantic Subtropical East
MSV000096004	AN1WDOC_PPL_002_NEG.mzML	environmental	dissolvedorganicmatter_water_saline	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Orbitrap Eclipse|MS:1003029	electrospray ionization (negative)	reverse phase (C18)	not specified	not specified	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	12/18/2020 09.30	not applicable	not applicable	37.91|-15.974	-60.0	not specified	not specified	not applicable	not applicable	ST01	DCM	17.53016	36.30329	7.41996	0.992859	0.25532	0.21389	98.8452	NASE	North Atlantic Subtropical East
MSV000096004	AN1WDOC_PPL_003_NEG.mzML	environmental	dissolvedorganicmatter_water_saline	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Orbitrap Eclipse|MS:1003029	electrospray ionization (negative)	reverse phase (C18)	not specified	not specified	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	12/18/2020 09.30	not applicable	not applicable	37.91|-15.974	-5.0	not specified	not specified	not applicable	not applicable	ST01	surf	17.50406	36.29139	7.455	27.1271	0.24232	0.21963	98.60851	NASE	North Atlantic Subtropical East
MSV000096004	AN1WDOC_PPL_004_NEG.mzML	environmental	dissolvedorganicmatter_water_saline	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Orbitrap Eclipse|MS:1003029	electrospray ionization (negative)	reverse phase (C18)	not specified	not specified	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	12/18/2020 09.30	not applicable	not applicable	37.91|-15.974	-2000.0	not specified	not specified	not applicable	not applicable	ST01	depth2	4.235211	35.07754	7.891511	1e-12	-0.06273	0.194589	99.60488	NASE	North Atlantic Subtropical East
MSV000096004	AN1WDOC_PPL_005_NEG.mzML	environmental	dissolvedorganicmatter_water_saline	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Orbitrap Eclipse|MS:1003029	electrospray ionization (negative)	reverse phase (C18)	not specified	not specified	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	12/18/2020 09.30	not applicable	not applicable	37.91|-15.974	-850.0	not specified	not specified	not applicable	not applicable	ST01	depth1	10.54717	35.82174	5.596578	1e-12	-0.11144	0.192733	99.64627	NASE	North Atlantic Subtropical East
MSV000096004	AN1WDOC_PPL_006_NEG.mzML	environmental	dissolvedorganicmatter_water_saline	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Orbitrap Eclipse|MS:1003029	electrospray ionization (negative)	reverse phase (C18)	not specified	not specified	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	12/19/2020 13.00	not applicable	not applicable	35.735|-19.166	-105.0	not specified	not specified	not applicable	not applicable	ST02	DCM	15.96911	36.10023	7.238178	0.533107	0.297844	0.203578	99.02333	NASE	North Atlantic Subtropical East
MSV000096004	AN1WDOC_PPL_007_NEG.mzML	environmental	dissolvedorganicmatter_water_saline	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Orbitrap Eclipse|MS:1003029	electrospray ionization (negative)	reverse phase (C18)	not specified	not specified	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	12/19/2020 13.00	not applicable	not applicable	35.735|-19.166	-5.0	not specified	not specified	not applicable	not applicable	ST02	surf	17.8273	36.31678	7.475542	102.0943	0.082642	0.2103	98.82691	NASE	North Atlantic Subtropical East
MSV000096004	AN1WDOC_PPL_008_NEG_blk.mzML	blank_analysis	dissolvedorganicmatter_water_saline	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Orbitrap Eclipse|MS:1003029	electrospray ionization (negative)	reverse phase (C18)	not specified	not specified	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	12/19/2020 13.00	not applicable	not applicable	35.735|-19.166		not specified	not specified	not applicable	not applicable	ST02	blk								NASE	North Atlantic Subtropical East
MSV000096004	AN1WDOC_PPL_009_NEG.mzML	environmental	dissolvedorganicmatter_water_saline	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Orbitrap Eclipse|MS:1003029	electrospray ionization (negative)	reverse phase (C18)	not specified	not specified	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	12/20/2020 10.00	not applicable	not applicable	32.18|-21.53	-5.0	not specified	not specified	not applicable	not applicable	ST03	surf	19.94809	36.79568	7.1203	59.44767	0.047325	0.206258	99.00309	NASE	North Atlantic Subtropical East
MSV000096004	AN1WDOC_PPL_010_NEG.mzML	environmental	dissolvedorganicmatter_water_saline	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Orbitrap Eclipse|MS:1003029	electrospray ionization (negative)	reverse phase (C18)	not specified	not specified	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	12/20/2020 10.00	not applicable	not applicable	32.18|-21.53	-115.0	not specified	not specified	not applicable	not applicable	ST03	DCM	18.4922	36.55552	6.8942	0.522127	0.187889	0.200278	99.19567	NASE	North Atlantic Subtropical East
